STAGE SP_786
ROW_1 Wood,Wood,Wood,Wood,Wood,Wood
FROW_1 false,false,false,false,false,false
ROW_2 Mimikyu,Wobbuffet,Meowth,Meowth,Wobbuffet,Mimikyu
FROW_2 false,false,false,false,false,false
ROW_3 Mimikyu,Wobbuffet,Meowth,Meowth,Wobbuffet,Mimikyu
FROW_3 false,false,false,false,false,false
ROW_4 Wood,Mimikyu,Wobbuffet,Mimikyu,Mimikyu,Wood
FROW_4 false,false,false,false,false,false
ROW_5 Mimikyu,Wobbuffet,Meowth,Meowth,Wobbuffet,Mimikyu
FROW_5 false,false,false,false,false,false
ROW_6 Mimikyu,Wobbuffet,Meowth,Meowth,Wobbuffet,Mimikyu
FROW_6 false,false,false,false,false,false
