STAGE 564
ROW_1 Metal,Metal,Metal,Metal,Metal,Metal
FROW_1 true,true,true,true,true,true
ROW_2 Wood,Wood,Wood,Wood,Wood,Wood
FROW_2 false,false,false,false,false,false
ROW_3 Ralts,Ralts,Kirlia,Kirlia,Ralts,Ralts
FROW_3 false,false,false,false,false,false
ROW_4 Wood,Wood,Wood,Wood,Wood,Wood
FROW_4 false,false,false,false,false,false
ROW_5 Ralts,Ralts,Kirlia,Wood,Ralts,Ralts
FROW_5 false,false,false,false,false,false
ROW_6 Ralts,Ralts,Wood,Kirlia,Ralts,Ralts
FROW_6 false,false,false,false,false,false
