STAGE 206
ROW_1 Air,Air,Air,Air,Air,Air
FROW_1 false,false,false,false,false,false
ROW_2 Volcarona,Air,Volcarona,Volcarona,Air,Volcarona
FROW_2 false,false,false,false,false,false
ROW_3 Volcarona,Air,Volcarona,Volcarona,Air,Volcarona
FROW_3 false,false,false,false,false,false
ROW_4 Wood,Wood,Wood,Wood,Wood,Wood
FROW_4 false,false,false,false,false,false
ROW_5 Volcarona,Air,Volcarona,Volcarona,Air,Volcarona
FROW_5 false,false,false,false,false,false
ROW_6 Volcarona,Air,Volcarona,Volcarona,Air,Volcarona
FROW_6 false,false,false,false,false,false
